,headline,news_category,org
84,"Q1 Results This Week: TCS, HCLTech, Avenue Supermarts, IREDA, Delta Corp and Tata Elxsi ",NaN, CNBCTV18
85,Paytm shares jump 9% after Vijay Shekhar Sharma says goal is to build $100 billion company ,NaN, Upstox
86,"MC Exclusive: F&O crackdown: Only one weekly options contract per exchange, min lot size Rs 20-30... ",NaN, Moneycontrol
87,India added 4.7 crore jobs in FY24; 6% growth double of previous year: RBI data ,NaN, The Times of India
88,GE Power India bags order from NTPC ,NaN, Zee Business
89,Gainers & Losers: Stocks that moved the most on July 8 ,NaN, Moneycontrol
90,"After Google Maps Exit, Ola Offers INR 100 Crore Free Credit for Ola Maps ",NaN, AIM
91,Wheel falls off United Airlines Boeing moments after takeoff from LA airport: Watch ,NaN, Hindustan Times
92,Jefferies surprised by Indian market's resilience post election; says midcaps face greatest correction risk ,Stock Market News,Mint
93,IT earnings preview: Is it the end of the downgrade cycle? ,NaN, CNBCTV18
94,"With Elon Musk’s Tesla yet to plug into India, government plans changes in new EV policy; tweaks may bene ",NaN, The Times of India
95,"Adani to spend $9bn on green hydrogen in Gujarat, with eye on exports: report ",NaN, Hydrogen Insight
96,SJVN share price target 2024: Rs 1 lakh became Rs 3 lakh in 1 yr! Time to BUY PSU stock for more gains? ,NaN, ET Now
97,"Bears flock to HDFC Bank counter as loan, deposit growth slows ",Stock Market News,Mint
98,Patel Engg chairman Rupen Patel dies at 57 ,NaN, The Times of India
99,Raymond share price jumps 18% in 3 days on demerger plans; Should you buy the multibagger stock? ,Stock Market News,Mint
100,Tata Curvv Electric Coupe SUV Teased Ahead Of Launch: All You Need To Know ,NaN, CarToq.com
101,"Koo Founder Announces New Consumer Tech Venture, Seeks Engineering Talent ",NaN, AIM
102,"Paramount and Skydance merge, signaling end of a family reign in Hollywood and the rise of new power ",NaN, Hindustan Times
103,Gold price plummets as US yields drop and China stops bullion buying ,NaN, FXStreet
104,"More passengers are impacted by delayed flights than ever before, shows data ",NaN, Hindustan Times
105,"Stocks to buy or sell: RVNL, RCF to Alembic — Sumeet Bagadia recommends five breakout stocks today ",Stock Market News,Mint
106,Air India welcomes first narrow body aircraft in Delhi ,NaN, The Hindu
107,Indian game firms want to distance themselves from fantasy sports ,NaN, TechCrunch
108,"Premiumization of Mahindra SUVs holds a mirror to luxury housing: Amit Kumar Sinha, MD, Mahindra Lifespaces ",NaN, Hindustan Times
109,This Hyundai SUV is Cheaper By Rs 2 Lakh ,NaN, MotorOctane
110,Blackstone In Talks To Gobble Up Majority Stake In Haldiram's In ₹70000 Cr Deal: Report ,NaN, Benzinga India
111,"Analyst Call Tracker: Tata Motors emerges as top bet in auto sector, rival Maruti Suzuki sees downgrades ",NaN, Moneycontrol
112,"MC Inside Edge: Sudden and swift jump in fertiliser stocks, three stocks in the limelight in F&O, a risky trend in small caps ",NaN, Moneycontrol
113,Gautam Adani Plans To Build Ships At Flagship Mundra Port: Report ,NaN, Benzinga India
114,"Stock market today: BSE Sensex back above 80,100; Nifty50 near 24,350 ",NaN, The Times of India
115,"RVNL Now Valued Higher Than IRCON, RITES, Jupiter Wagons And Titagarh Combined ",NaN, Benzinga India
116,SBI Keen To Sell 24% Stake In Yes Bank ,NaN, NDTV Profit
117,Indian IT eyes modest growth April-June qtr ,NaN, The Times of India
118,"Affle India Shares Up 4%, Hit 52-Week High As Citi Initiates Coverage With 'Buy' ",NaN, Benzinga India
119,"Suzlon Peer Inox Wind Bags Order For Its Wind Turbine Generators, Shares Fly 6% ",NaN, Benzinga India
120,How India's Uday Kotak Got Caught in Adani Inquiry in Latest Hindenburg Twist ,NaN, Bloomberg
121,L&T expands semiconductor business through ₹183 crore SiliConch acquisition ,NaN, CNBCTV18
122,"Nifty Bank closes lower; strong support placed at 52,000: Experts ",NaN, The Economic Times
123,"MGL, Pitti Engineering, CONCOR, Senco Gold, Godrej Consumer and more: Stocks to watch on July 9 ",NaN, CNBCTV18
124,Govt. reopens PLI scheme for white goods till October 12 ,NaN, The Hindu
125,"India added 2.5 times more jobs in FY24, highest since 1981-82: RBI data ",NaN, Moneycontrol
126,"Tea prices soar as heatwaves, floods slash output in key producing regions ",NaN, Business Standard
127,MCX technical glitch: Commodity trading begins at 10 AM after one hour delay ,Stock Market News,Mint
128,"After iPhone Success, Apple Wants To Revive Its 'Make In India' Plans For iPads And AirPod Cases: Report ",NaN, Benzinga India
129,BlackRock buys 4.55 mn shares of Swan Energy worth Rs 304 cr via block deal ,NaN, Business Standard
130,"Stocks to buy or sell: RVNL, RCF to Alembic — Sumeet Bagadia recommends five breakout stocks today ",Stock Market News,Mint
131,"Nuvama Initiates Coverage On This Railway Stock, Sees 21% Upside ",NaN, Benzinga India
132,"Oil prices plunge on Gaza peace talks, Hurricane Beryl impact; brent crude at $86.12/bbl ",Stock Market News,Mint
133,"Zerodha glitch: Man explains how he lost Rs 10 lakh, seeks help ",NaN, India Today
134,Arnold Schwarzenegger inspired Mercedes with electric car ,NaN, Supercar Blondie
135,Gold jumps ahead of Fed Powell’s testimony ,NaN, FXStreet
136,"Exclusive: Dezerv Raises $32 Mn From Premji Invest, Others At A Valuation Of Over $200 Mn ",NaN, Inc42 Media
137,Ducati Hypermotard 698 Mono Launch Price Rs 16.5 Lakh - RVE Arrival Later ,NaN, RushLane
138,"Wall Street today: US stocks edge higher ahead of key economic events, chip shares rally ",Stock Market News,Mint
139,Skoda To Launch Premium SUV Kodiaq In India ,NaN, NDTV Profit
140,PC Jeweller stock hits 10% upper circuit after PNB approves one-time settlement of dues ,Stock Market News,Mint
141,"Ratan Tata's company earns Rs 38000 crore in 5 days, becomes biggest... ",NaN, DNA India
142,Trade setup for today: Top 15 things to know before the opening bell ,NaN, Moneycontrol
143,"Equity fund inflows rise by 17% to Rs 40,608 crore in June, a fresh high: AMFI data ",NaN, Moneycontrol
144,Maruti Suzuki shares surge over 6% as UP govt waives registration fee for hybrid cars; check details ,NaN, Upstox
145,"MC Inside Edge: Sudden and swift jump in fertiliser stocks, three stocks in the limelight in F&O, a... ",NaN, Moneycontrol
146,MC Exclusive ,NaN,Moneycontrol
147,"Amid valuation concerns, HDFC Defence Fund stops new SIP registrations effective July 22 ",NaN, BusinessLine
148,Inox Wind shares gain nearly 7% after securing 200MW order ,NaN, Upstox
149,"Yes Bank stake sale report is factually incorrect, got no approval from RBI: Bank clarifies ",NaN, The Economic Times
150,"Stocks to watch, July 9: Dixon Tech, Swan Energy, Bajaj Finserv, Senco Gold ",NaN, Business Standard
151,Employment rate rises 6% provisionally in FY24 from 3.2% in FY23: RBI data ,NaN, The Indian Express
152,Emcure Pharma IPO: Namita Thapar-backed issue may debut with 30% gains amid high investor interest ,NaN, CNBCTV18
153,"IRFC Share Price Target 2024: Railway stock tumbles after scaling fresh high - Buy, Sell or Hold? ",NaN, ET Now
154,"Hyundai under pressure from Tata, Mahindra as $3.5 billion India IPO looms ",Company Business News,Mint
155,L&T Bags Order For Construction Of 2 Fleet Support Ships For Indian Navy ,NaN, Benzinga India
156,"Crude oil prices: Brent, WTI shed 0.25% after subdued impact of Hurricane Beryl ",NaN, Upstox
157,"2024 Mercedes EQA, EQB Electric SUVs India Launch Price From Rs 66 Lakh ",NaN, RushLane
158,"Adani to build ships at Mundra port in Gujarat, will likely focus on green vessels for long-term, says report ",Company Business News,Mint
159,L&T to acquire semiconductor design firm SiliConch ,NaN, VCCircle
160,"Bansal Wire Industries IPO Allotment Today: A Step-by-Step Guide to Check Status, Check GMP Today ",NaN, News18
161,"Apple may start iPad production in India, AirPod charging cases at Jabil facility in Pune, says report ",Company Business News,Mint
162,Indian PhD scholar says Air India forgot to load her suitcase on US flight to Bengaluru: ‘It’s been 36 hours' ,NaN, Hindustan Times
163,Jupiter Wagons shares plunge 3% despite QIP launch- Find out why? ,NaN, The Financial Express
164,Wealthtech startup Dezerv raises $32 Mn in Series B ,NaN, Entrackr
165,Tata Group airlines move a step closer to merger ,NaN, The Financial Express
166,"Paytm Like A Daughter Who Met With Accident, Now In ICU: Vijay Shekhar Sharma ",NaN, NDTV Profit
167,Swiggy's Early Investors Dilute Stakes Ahead Of Expected IPO: Report ,NaN, Benzinga India
168,"Unsold Cars Worth Rs 60,000 Crores Lying At Dealers - All Time High Inventory ",NaN, RushLane
169,"Nifty 50 likely to rise in the short term; BHEL, CDSL among top technical picks by Rupak De of LKP Securities ",Stock Market News,Mint
170,"Trade Spotlight: How should you trade SJVN, Apollo Hospitals, Ircon, Coforge, MIDHANI, and others on... ",NaN, Moneycontrol
171,HFT Scan: Gujarat Mineral Development Corporation and Ircon International in focus ,NaN, Moneycontrol
172,Rs 85 IPO GMP Today: 97% latest grey market premium - Check company name ,NaN, ET Now
173,"Quant Mutual Fund investors withdraw Rs 2,800 crore amid Sebi probe: Report ",NaN, The Economic Times
174,Accenture Acquires Excelmax Technologies to Expand Silicon Design and Engineering Capabilities - Newsroom ,Accenture,
175,Ducati Hypermotard 698 Mono Launch Price Rs 16.5 Lakh - RVE Arrival Later ,NaN, RushLane
176,Wheel falls off United Airlines Boeing moments after takeoff from LA airport: Watch ,NaN, Hindustan Times
177,Share Market Highlights 9 July 2024: Sensex and Nifty trade firm; Maruti Suzuki surges over 6% ,NaN, BusinessLine
178,"Wipro settles non-compete lawsuits against former execs, Cognizant pays $505k for settlement ",NaN, Moneycontrol
179,Crisis-hit Paytm gets govt panel's nod to invest in payments arm: Report ,NaN, Business Standard
180,Freedom Vs Splendor: Bajaj Autos New CNG Foray Gets Thumbs Up From Analysts ,NaN, NDTV Profit
181,SEBI committee proposes stricter measures to curb derivatives volume; raises lot size to ₹20-30 lakh: Report ,Stock Market News,Mint
182,"Tata Motors reduces price of Harrier, Safari to provide benefits up to 1,40,000 ",NaN, Hindustan Times
183,"New Thematic, Multi-Cap Mutual Funds Drive Equity Inflows To Another Record ",NaN, NDTV Profit
184,Xiaomi SU7 Electric Car Showcased In India - 10th Anniversary Celebration ,NaN, RushLane
185,SBI To Sell Entire 24% Stake In Yes Bank 4 Years After Rescue: Report ,NaN, Benzinga India
186,Good news! Maruti Suzuki cars to now offer more than double warranty on kilometres run: Details ,NaN, The Times of India
187,Mobile tariff hike: These are the most affordable monthly and yearly plans from Reliance Jio and Airtel o ,NaN, The Times of India
188,"Adani to build ships at Mundra port in Gujarat, will likely focus on green vessels for long-term, says report ",NaN, Mint
189,Mahindra XUV700 AX7 Price Cut By Up To Rs 2.2 Lakh - Official Price List ,NaN, RushLane
190,Nikhil Kamath's ‘sh*t marketing’ jibe at Ather Energy gets a witty comeback from Bengaluru CEO ,NaN, Hindustan Times
191,Mumbai and Delhi housing prices soar by 48% in five years as unsold inventory declines ,NaN, The Hindu
192,"Zerodha glitch: Man explains how he lost Rs 10 lakh, seeks help ",NaN, India Today
193,"Microsoft ditches Android for Apple iPhones in China, citing security and authentication issues ",Company Business News,Mint
194,"Tata Motors Group global wholesales at 3,29,847 in Q1 FY25 ",NaN, Tata Motors
195,"Mahanagar Gas increases CNG and domestic PNG prices in Mumbai, Report: Check latest rates IGL and Gujarat Gas ",NaN,Mint
196,"Q1 Results: TCS, DMart, HCL Tech, IREDA Among Companies Declaring Quarterly Earnings This Week ",NaN, NDTV Profit
197,Netizens Poke Holes In Ola Founder's 'India-Specfic' Narrative As In-House Map Tool Bears Strong Resemblance To OpenStreetMaps ,NaN, Benzinga India
198,Bansal Wire IPO: Allotment status out. What GMP signals ahead of share listing date? ,Stock Market News,Mint
199,"Motilal Oswal Takes Bullish View On ONGC, GAIL Ahead Of Earnings ",NaN, Benzinga India
200,"Top Power Stock Picks: Investec highlights NHPC, Inox Wind among preference ",NaN, CNBCTV18
201,Blackrock Buys Shares Worth Rs 304 Crore Of Swan Energy ,NaN, NDTV Profit
202,"Stock to buy: Anand Rathi sees 20% upside for multibagger PSU Hindustan Copper shares, recommends ‘Buy’ ",Stock Market News,Mint
203,First Tata Curvv EV Official Teasers Out Ahead Of Launch ,NaN, CarDekho
204,Sebi tweaks norms for mutual fund investments in listed securities of sponsor ,NaN, The Economic Times
205,"Cognizant pays $505,087 to settle non-complete Wipro lawsuit against CFO Jatin Dalal ",Company Business News,Mint
206,HDFC Mutual Fund to discontinue lumpsum subscription and restrict systematic transactions in defence fund ,NaN, The Economic Times
207,Maruti Suzuki's Share Price Shoots Up As UP Govt Scraps Tax That Could Save Its Hybrid Buyers Up To ₹3 Lakh ,NaN, Benzinga India
208,"F&O Trading: Sebi Panel Suggests Rs 20-30 Lakh Minimum Lot Size, One Weekly Options Contract Per Exchange ",NaN, News18
209,"TCS Q1FY25 results: PAT may grow 8% YoY to Rs 11,984 crore, revenue uptick seen at 4.8% ",NaN, The Economic Times
210,BlackRock buys 4.55 mn shares of Swan Energy worth Rs 304 cr via block deal ,NaN, Business Standard
211,"Inflation impact: sambar is luxury, chutney staple in many lower-income households in Bengaluru ",NaN, The Hindu
212,"Emcure Pharmaceuticals share price makes a strong debut, stock opens with 31.5% premium at ₹1,325.05 apiece on NSE ",NaN, Mint
213,"M&M, bank stocks halt D-Street's record run! Sensex sheds 150 points, Nifty below 24,400 ",NaN, The Economic Times
214,Zomato’s ad for its '16th janamdin' gets a shout-out from Paytm CEO Vijay Shekhar Sharma ,NaN, Hindustan Times
215,"Amazon Pay sees big opportunities in India's small towns, offline payments ",Company Business News,Mint
216,RVNL Bags ₹202.87 Cr Order From South Eastern Railways ,NaN, Benzinga India
217,Bullish calls on Maruti after UP's hybrid tax break sends stock higher ,NaN, Moneycontrol
218,"Bansal Wire Industries IPO listing date today. Latest GMP, experts see share listing price at strong premium ",Stock Market News,Mint
219,"Markets News, July 9, 2024: S&P 500, Nasdaq Inch Higher to Extend Winning Streaks ",NaN, Investopedia
220,Delta Corp share price slumps over 4% on weak Q1 results; net profit dives 68% YoY ,Stock Market News,Mint
221,"Mutual fund SIPs hit new high of Rs 21,260 crore in June, cross Rs 1 lakh crore mark in 2024 ",NaN, The Economic Times
222,"Buy or sell: Apollo Tyres to Union Bank, Vaishali Parekh recommends three stocks to buy today — July 10 ",Stock Market News,Mint
223,Massive Rs 2 lakh price cut on Mahindra XUV700 for a short time: Details and new pricing ,NaN, The Times of India
224,Q1 result season begins: 30 companies may report over 100% growth in profit ,NaN, The Economic Times
225,RBI red flags 'lakhs' of accounts used for fraud and evergreening ,NaN, Business Standard
226,"Trade setup for 10 July: Will BANK NIFTY hold the crucial 52,000 mark on expiry day? ",NaN, Upstox
227,"Stocks To Watch: Reliance Industries, Wipro, ONGC, RVNL, Mahindra & Mahindra, Bansal Wires, Emcure Pharma ",NaN, The Financial Express
228,"F&O frenzy in equities now turning into a stampede, warns Vijay Kedia ",NaN, Moneycontrol
229,Adani Power Unit To Sell Electricity In 20-Year Deal With Reliance Industries ,NaN, NDTV Profit
230,Reliance Jio introduces new 'true unlimited upgrade' add-on plans amid customer backlash over tariff hikes ,Company Business News,Mint
231,Why does the latest RBI jobs data show a bump up in employment? ,NaN, The Indian Express
232,"Samsung workers form a union at TN unit, raise demands ",NaN, The Morning Context
233,ONGC to invest Rs 2 trillion to meet net zero carbon emission target ,NaN, Business Standard
234,Trade setup for today: Top 15 things to know before the opening bell ,NaN, Moneycontrol
235,"Stocks in news: Delta Corp, Paytm, Delhivery, Mankind Pharma, JSW Steel ",NaN, The Economic Times
236,"Union Budget 2024: Good time to push disinvestment of public banks, says SBI report ",NaN, The Economic Times
237,TCS Q1 result preview: From key numbers to deal pipelines-5 key things to watch in IT major's June-quarter earnings ,Company Business News,Mint
238,"Trade Spotlight: How should you trade JBM Auto, Ceat, Zomato, Sun Pharma, Ipca Labs, and others on Wednesday? ",NaN, Moneycontrol
239,Kia launches five new variants of Seltos and Sonet ,NaN, The Financial Express
240,Yatra Online Ordered To Speed Up COVID-19 Related Pending Refunds Worth Over ₹2.5 Cr ,NaN, Benzinga India
241,ALMM: India’s Solar Module Manufacturing Capacity Touches 50.8 GW ,NaN, Saurenergy
242,Maruti Suzuki Extended Warranty: What's Covered? ,NaN, RushLane
243,Chandra Shekhar Ghosh hangs up boots as Bandhan Bank MD and CEO ,NaN, Business Standard
244,All You Need To Know About FII Positions Going Into Trade On July 10 ,NaN, NDTV Profit
245,2024-07-09 L&T wins Significant Order for Part Construction of Two Fleet Support Ships ,NaN, L&T
246,Gold stays bid during start of Powell testimony ,NaN, FXStreet
247,Jerome Powell says more good data would strengthen case for rate cuts by Federal Reserve ,Stock Market News,Mint
248,No information received on Quant Mutual Fund investigation: AMFI's CEO ,NaN, CNBCTV18
249,"Amazon Prime Day 2024: Early deals and discounts on electronics, gadgets, and home appliances ",NaN,Mint
250,Raymond Demerger: Last day to buy the stock to qualify for eligibility ,NaN, The Economic Times
251,"Mumbai-based realty firm Ashwin Sheth Group plans to float an IPO in the next 2 years, raise ₹2,000- ₹3,000 crore ",NaN, Hindustan Times
252,Gautam Adani to start shipbuilding at Mundra port amid global demand surge ,NaN, Business Standard
253,"RVNL Inks MoU With Tatweer, Wins Rs 187-Crore Nagpur Metro Contract ",NaN, NDTV Profit
254,"stock market crash: Sensex crashes over 800 points, smallcaps worst hit. 5 factors brought the bears out ",NaN, The Economic Times
255,"Stocks to watch, July 10: Angel One, Emcure Pharma, Mankind Pharma, M&M ",NaN, Business Standard
256,Bullish calls on Maruti after UP's hybrid tax break sends stock to all-time high ,NaN, Moneycontrol
257,India's Reserve Bank Says Over 40 million Jobs Created Last Year ,NaN,Firstpost
258,"RVNL shares rally 10% on MoU, order win; Another ₹1,408 crore block seen ",NaN, CNBCTV18
259,"Tata Harrier, Safari Price Cut By Up To Rs 1.4 Lakh - All Variants New Prices ",NaN, RushLane
260,How BSE may benefit from a SEBI proposal to curb F&O frenzy ,NaN, CNBCTV18
261,Results play! Earnings growth to moderate for banks in Q1. Which stocks to buy? ,NaN, The Economic Times
262,Rajiv Bajaj To Hero MotoCorp At Bajaj CNG Bike Launch - Tiger Zinda Hain ,NaN, RushLane
263,"Top Stock Recommendations: Sagar Doshi of Nuvama suggests Laurus Labs, Balrampur Chini, and Hindalco today ",Stock Market News,Mint
264,Kerala's own airline: Air Kerala to take off soon | Air Kerala News | Air Kerala Flight | Travel ,NaN,Onmanorama
265,TCS Q1 preview: June quarter likely to be softer; margin may remain under pressure ,Company Business News,Mint
266,Adani Ports' Shares Inch Up On Winning Bid To Run Berth At Gujarat Port ,NaN, Benzinga India
267,Namita Thapar's Emcure Pharma lists at 31% premium on NSE ,NaN, Moneycontrol
268,Gold holds positive ground ahead of Fed Chair Powell’s second testimony ,NaN, FXStreet
269,"Q1 Earnings Preview: Flat to 4% growth in net profit expected from Nifty pack; auto, financials, health to ",NaN, The Economic Times
270,"Stocks To Watch: Godrej Consumer, Godrej Industries, Bajaj Finserv, Torrent Power, Container Corp, JSW Steel ",NaN, NDTV Profit
271,CESC share price: Why the stock surged over 10% on Tuesday - Explained ,NaN, CNBCTV18
272,HDFC Defence Fund to halt new SIP registrations from July 22 ,NaN, Moneycontrol
273,"Nifty 50, Sensex today: What to expect from Indian stock market in trade on July 9 ",Stock Market News,Mint
274,"Too Many Internal Accounts Could Be Doorway To Evergreening, RBI Warns CFOs ",NaN, NDTV Profit
275,MC Exclusive ,NaN,Moneycontrol
276,Who is Snorting the $20 Billion Dry Powder in India? ,NaN, AIM
277,New Toyota Fortuner Rival Coming in 2025 ,NaN, MotorOctane
